company_name,stock_code,corp_code,bsns_year,report_name,reprt_code,fs_div,api_status,api_message,account_row_count,collected
HLB,028300,00199252,2019,분기보고서_1분기,11013,CFS,000,정상,226,True
HLB,028300,00199252,2019,분기보고서_1분기,11013,OFS,000,정상,144,True
HLB,028300,00199252,2019,분기보고서_3분기,11014,CFS,000,정상,268,True
HLB,028300,00199252,2019,분기보고서_3분기,11014,OFS,000,정상,171,True
HLB,028300,00199252,2019,사업보고서,11011,CFS,000,정상,296,True
HLB,028300,00199252,2019,사업보고서,11011,OFS,000,정상,193,True
HLB,028300,00199252,2020,반기보고서,11012,CFS,000,정상,215,True
HLB,028300,00199252,2020,반기보고서,11012,OFS,000,정상,140,True
HLB,028300,00199252,2020,분기보고서_1분기,11013,CFS,000,정상,297,True
HLB,028300,00199252,2020,분기보고서_1분기,11013,OFS,000,정상,193,True
HLB,028300,00199252,2020,분기보고서_3분기,11014,CFS,000,정상,226,True
HLB,028300,00199252,2020,분기보고서_3분기,11014,OFS,000,정상,141,True
HLB,028300,00199252,2020,사업보고서,11011,CFS,000,정상,318,True
HLB,028300,00199252,2020,사업보고서,11011,OFS,000,정상,198,True
HLB,028300,00199252,2021,반기보고서,11012,CFS,000,정상,263,True
HLB,028300,00199252,2021,반기보고서,11012,OFS,000,정상,143,True
HLB,028300,00199252,2021,분기보고서_1분기,11013,CFS,000,정상,264,True
HLB,028300,00199252,2021,분기보고서_1분기,11013,OFS,000,정상,144,True
HLB,028300,00199252,2021,분기보고서_3분기,11014,CFS,000,정상,272,True
HLB,028300,00199252,2021,분기보고서_3분기,11014,OFS,000,정상,149,True
HLB,028300,00199252,2021,사업보고서,11011,CFS,000,정상,276,True
HLB,028300,00199252,2021,사업보고서,11011,OFS,000,정상,152,True
HLB,028300,00199252,2022,반기보고서,11012,CFS,000,정상,201,True
HLB,028300,00199252,2022,반기보고서,11012,OFS,000,정상,148,True
HLB,028300,00199252,2022,분기보고서_1분기,11013,CFS,000,정상,194,True
HLB,028300,00199252,2022,분기보고서_1분기,11013,OFS,000,정상,141,True
HLB,028300,00199252,2022,분기보고서_3분기,11014,CFS,000,정상,211,True
HLB,028300,00199252,2022,분기보고서_3분기,11014,OFS,000,정상,156,True
HLB,028300,00199252,2022,사업보고서,11011,CFS,000,정상,249,True
HLB,028300,00199252,2022,사업보고서,11011,OFS,000,정상,177,True
HLB,028300,00199252,2023,반기보고서,11012,CFS,000,정상,192,True
HLB,028300,00199252,2023,반기보고서,11012,OFS,000,정상,140,True
HLB,028300,00199252,2023,분기보고서_1분기,11013,CFS,000,정상,197,True
HLB,028300,00199252,2023,분기보고서_1분기,11013,OFS,000,정상,144,True
HLB,028300,00199252,2023,분기보고서_3분기,11014,CFS,000,정상,222,True
HLB,028300,00199252,2023,분기보고서_3분기,11014,OFS,000,정상,165,True
HLB,028300,00199252,2023,사업보고서,11011,CFS,000,정상,265,True
HLB,028300,00199252,2023,사업보고서,11011,OFS,000,정상,182,True
HLB,028300,00199252,2024,반기보고서,11012,CFS,000,정상,243,True
HLB,028300,00199252,2024,반기보고서,11012,OFS,000,정상,155,True
HLB,028300,00199252,2024,분기보고서_1분기,11013,CFS,000,정상,229,True
HLB,028300,00199252,2024,분기보고서_1분기,11013,OFS,000,정상,146,True
HLB,028300,00199252,2024,분기보고서_3분기,11014,CFS,000,정상,273,True
HLB,028300,00199252,2024,분기보고서_3분기,11014,OFS,000,정상,163,True
HLB,028300,00199252,2024,사업보고서,11011,CFS,000,정상,309,True
HLB,028300,00199252,2024,사업보고서,11011,OFS,000,정상,211,True
HLB,028300,00199252,2025,반기보고서,11012,CFS,000,정상,256,True
HLB,028300,00199252,2025,반기보고서,11012,OFS,000,정상,156,True
HLB,028300,00199252,2025,분기보고서_1분기,11013,CFS,000,정상,229,True
HLB,028300,00199252,2025,분기보고서_1분기,11013,OFS,000,정상,138,True
HLB,028300,00199252,2025,분기보고서_3분기,11014,CFS,000,정상,280,True
HLB,028300,00199252,2025,분기보고서_3분기,11014,OFS,000,정상,165,True
HLB,028300,00199252,2025,사업보고서,11011,CFS,000,정상,325,True
HLB,028300,00199252,2025,사업보고서,11011,OFS,000,정상,214,True
HL만도,204320,01042775,2017,반기보고서,11012,CFS,000,정상,148,True
HL만도,204320,01042775,2017,반기보고서,11012,OFS,000,정상,121,True
